TransactionID,Date,ProductID,Type,SupplierID,Quantity,Promised_Delivery_Days,Actual_Delivery_Days
1,2025-01-02,108,Purchase,2.0,184,4.0,8.0
2,2025-01-03,102,Purchase,8.0,334,3.0,3.0
3,2025-01-04,106,Purchase,8.0,392,7.0,8.0
4,2025-01-05,105,Purchase,8.0,247,4.0,4.0
5,2025-01-06,102,Purchase,5.0,159,6.0,5.0
6,2025-01-07,105,Purchase,6.0,258,4.0,5.0
7,2025-01-08,107,Purchase,8.0,330,7.0,8.0
8,2025-01-09,108,Purchase,4.0,355,6.0,6.0
9,2025-01-10,105,Purchase,2.0,105,5.0,9.0
10,2025-01-11,105,Purchase,6.0,121,4.0,4.0
11,2025-01-12,102,Purchase,5.0,417,7.0,7.0
12,2025-01-13,110,Purchase,8.0,136,7.0,8.0
13,2025-01-14,101,Purchase,7.0,230,4.0,3.0
14,2025-01-15,110,Purchase,1.0,370,6.0,12.0
15,2025-01-16,102,Purchase,3.0,322,7.0,6.0
16,2025-01-17,103,Purchase,3.0,320,6.0,7.0
17,2025-01-18,106,Purchase,5.0,313,6.0,5.0
18,2025-01-19,102,Purchase,9.0,351,4.0,4.0
19,2025-01-20,102,Purchase,2.0,369,3.0,7.0
20,2025-01-21,105,Purchase,8.0,114,6.0,7.0
21,2025-01-22,104,Purchase,7.0,467,5.0,4.0
22,2025-01-23,101,Purchase,3.0,309,5.0,6.0
23,2025-01-24,103,Purchase,6.0,445,6.0,6.0
24,2025-01-25,105,Purchase,5.0,406,3.0,2.0
25,2025-01-26,102,Purchase,3.0,239,3.0,2.0
26,2025-01-27,109,Purchase,8.0,140,7.0,8.0
27,2025-01-28,109,Purchase,3.0,293,6.0,7.0
28,2025-01-29,108,Purchase,4.0,321,7.0,8.0
29,2025-01-30,102,Purchase,7.0,378,7.0,8.0
30,2025-01-31,102,Purchase,7.0,142,7.0,6.0
31,2025-02-01,110,Purchase,3.0,451,7.0,8.0
32,2025-02-02,103,Purchase,1.0,425,4.0,9.0
33,2025-02-03,109,Purchase,8.0,464,4.0,5.0
34,2025-02-04,101,Purchase,3.0,316,5.0,4.0
35,2025-02-05,103,Purchase,10.0,217,5.0,6.0
36,2025-02-06,105,Purchase,3.0,431,6.0,7.0
37,2025-02-07,104,Purchase,2.0,445,6.0,12.0
38,2025-02-08,104,Purchase,10.0,447,4.0,5.0
39,2025-02-09,107,Purchase,10.0,395,4.0,5.0
40,2025-02-10,110,Purchase,7.0,351,6.0,5.0
41,2025-02-11,109,Purchase,8.0,469,5.0,4.0
42,2025-02-12,104,Purchase,6.0,116,7.0,7.0
43,2025-02-13,102,Purchase,5.0,152,6.0,6.0
44,2025-02-14,109,Purchase,9.0,473,4.0,5.0
45,2025-02-15,104,Purchase,4.0,412,3.0,6.0
46,2025-02-16,107,Purchase,10.0,396,3.0,4.0
47,2025-02-17,104,Purchase,7.0,226,3.0,4.0
48,2025-02-18,104,Purchase,2.0,169,6.0,10.0
49,2025-02-19,110,Purchase,5.0,251,7.0,7.0
50,2025-02-20,102,Purchase,1.0,291,6.0,10.0
51,2025-02-21,103,Purchase,6.0,445,5.0,7.0
52,2025-02-22,107,Purchase,7.0,239,3.0,4.0
53,2025-02-23,105,Purchase,3.0,482,5.0,5.0
54,2025-02-24,110,Purchase,8.0,170,3.0,3.0
55,2025-02-25,110,Purchase,7.0,343,6.0,5.0
56,2025-02-26,103,Sale,,296,,
57,2025-02-27,105,Sale,,275,,
58,2025-02-28,103,Sale,,321,,
59,2025-03-01,104,Sale,,458,,
60,2025-03-02,110,Sale,,570,,
61,2025-03-03,107,Sale,,226,,
62,2025-03-04,106,Sale,,275,,
63,2025-03-05,106,Sale,,207,,
64,2025-03-06,105,Sale,,588,,
65,2025-03-07,103,Sale,,258,,
66,2025-03-08,103,Sale,,340,,
67,2025-03-09,105,Sale,,332,,
68,2025-03-10,101,Sale,,425,,
69,2025-03-11,110,Sale,,164,,
70,2025-03-12,109,Sale,,234,,
71,2025-03-13,109,Sale,,250,,
72,2025-03-14,109,Sale,,591,,
73,2025-03-15,104,Sale,,330,,
74,2025-03-16,104,Sale,,397,,
75,2025-03-17,103,Sale,,323,,
76,2025-03-18,102,Sale,,534,,
77,2025-03-19,110,Sale,,201,,
78,2025-03-20,101,Sale,,324,,
79,2025-03-21,105,Sale,,315,,
80,2025-03-22,108,Sale,,476,,
81,2025-03-23,110,Sale,,171,,
82,2025-03-24,107,Sale,,559,,
83,2025-03-25,109,Sale,,333,,
84,2025-03-26,103,Sale,,598,,
85,2025-03-27,109,Sale,,364,,
86,2025-03-28,105,Sale,,479,,
87,2025-03-29,108,Sale,,151,,
88,2025-03-30,103,Sale,,438,,
89,2025-03-31,105,Sale,,475,,
90,2025-04-01,106,Sale,,579,,
91,2025-04-02,102,Sale,,495,,
92,2025-04-03,106,Sale,,246,,
93,2025-04-04,101,Sale,,400,,
94,2025-04-05,109,Sale,,499,,
95,2025-04-06,104,Sale,,490,,
96,2025-04-07,110,Sale,,541,,
97,2025-04-08,101,Sale,,325,,
98,2025-04-09,103,Sale,,562,,
99,2025-04-10,110,Sale,,599,,
100,2025-04-11,103,Sale,,587,,
101,2025-05-01,101,Sale,,900,,
102,2025-05-01,101,Sale,,950,,
103,2025-05-01,101,Sale,,1000,,
104,2025-05-01,102,Sale,,900,,
105,2025-05-01,102,Sale,,950,,
106,2025-05-01,102,Sale,,1000,,
107,2025-05-01,108,Sale,,900,,
108,2025-05-01,108,Sale,,950,,
109,2025-05-01,108,Sale,,1000,,
